"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,128,0.25,1,1,1,1,1,1
"2",124,256,0.25,1,1,1,1,1,1
"3",451,128,0.25,1,1,1,1,1,1
"4",689,256,0.125,0.97979797979798,0.966101694915254,1,0.959216791085437,0.982758620689655,0.983050847457627
"5",320,256,0.25,1,1,1,1,1,1
"6",420,256,0.125,0.97979797979798,0.966101694915254,1,0.959216791085437,0.982758620689655,0.983050847457627
"7",987,128,0.25,1,1,1,1,1,1
"8",150,256,0.125,0.97979797979798,0.966101694915254,1,0.959216791085437,0.982758620689655,0.983050847457627
"9",489,256,0.25,1,1,1,1,1,1
"10",143,4,0.125,0.97979797979798,0.983050847457627,0.975,0.958050847457627,0.983050847457627,0.979025423728814
"11",323,256,0.25,1,1,1,1,1,1
"12",550,256,0.125,0.97979797979798,0.966101694915254,1,0.959216791085437,0.982758620689655,0.983050847457627
"13",740,32,0.125,0.97979797979798,0.983050847457627,0.975,0.958050847457627,0.983050847457627,0.979025423728814
"14",430,128,0.25,1,1,1,1,1,1
"15",303,256,0.125,0.97979797979798,0.966101694915254,1,0.959216791085437,0.982758620689655,0.983050847457627
"16",264,128,0.25,1,1,1,1,1,1
"17",456,256,0.125,0.97979797979798,0.966101694915254,1,0.959216791085437,0.982758620689655,0.983050847457627
"18",970,256,0.125,0.97979797979798,0.966101694915254,1,0.959216791085437,0.982758620689655,0.983050847457627
"19",950,256,0.125,0.97979797979798,0.966101694915254,1,0.959216791085437,0.982758620689655,0.983050847457627
"20",880,256,0.125,0.97979797979798,0.966101694915254,1,0.959216791085437,0.982758620689655,0.983050847457627
