Seed,Cost,Gamma,Acc,Sen,Spe,MCC,F1,AUC
131,4,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
124,1,0.25,0.95959596,0.949152542,0.975,0.917566588,0.965517241,0.962076271
451,1,0.25,0.95959596,0.949152542,0.975,0.917566588,0.965517241,0.962076271
689,4,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
320,4,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
420,4,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
987,2,0.5,0.95959596,0.966101695,0.95,0.916101695,0.966101695,0.958050847
150,2,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
489,1,0.25,0.95959596,0.949152542,0.975,0.917566588,0.965517241,0.962076271
143,1,0.5,0.95959596,0.966101695,0.95,0.916101695,0.966101695,0.958050847
323,1,0.5,0.95959596,0.966101695,0.95,0.916101695,0.966101695,0.958050847
550,4,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
740,2,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
430,4,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
303,1,0.25,0.95959596,0.949152542,0.975,0.917566588,0.965517241,0.962076271
264,4,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
456,4,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
970,2,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
950,4,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
880,4,0.25,0.949494949,0.93220339,0.975,0.898115982,0.956521739,0.953601695
