"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,32,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"2",124,8,0.00390625,0.973333333333333,0.833333333333333,1,0.898717034272917,0.909090909090909,0.916666666666667
"3",451,4,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"4",689,2,0.0078125,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"5",320,64,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"6",420,32,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"7",987,32,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"8",150,4,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"9",489,2,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"10",143,64,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"11",323,128,0.00390625,0.973333333333333,0.833333333333333,1,0.898717034272917,0.909090909090909,0.916666666666667
"12",550,32,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"13",740,32,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"14",430,4,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"15",303,32,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"16",264,64,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"17",456,32,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"18",970,32,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"19",950,32,0.00390625,0.96,0.75,1,0.846114112226649,0.857142857142857,0.875
"20",880,256,0.00390625,0.973333333333333,0.833333333333333,1,0.898717034272917,0.909090909090909,0.916666666666667
