"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,128,0.0078125,1,1,1,1,1,1
"2",124,8,0.0625,0.985915492957746,1,0.983870967741935,0.941001525486405,0.947368421052632,0.991935483870968
"3",451,256,0.00390625,1,1,1,1,1,1
"4",689,256,0.00390625,1,1,1,1,1,1
"5",320,256,0.00390625,1,1,1,1,1,1
"6",420,256,0.0078125,1,1,1,1,1,1
"7",987,256,0.00390625,1,1,1,1,1,1
"8",150,256,0.00390625,1,1,1,1,1,1
"9",489,256,0.00390625,1,1,1,1,1,1
"10",143,2,0.0625,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"11",323,8,0.0625,0.985915492957746,1,0.983870967741935,0.941001525486405,0.947368421052632,0.991935483870968
"12",550,256,0.00390625,1,1,1,1,1,1
"13",740,128,0.00390625,1,1,1,1,1,1
"14",430,256,0.00390625,1,1,1,1,1,1
"15",303,256,0.00390625,1,1,1,1,1,1
"16",264,64,0.125,1,1,1,1,1,1
"17",456,256,0.0078125,1,1,1,1,1,1
"18",970,256,0.03125,1,1,1,1,1,1
"19",950,256,0.00390625,1,1,1,1,1,1
"20",880,256,0.00390625,1,1,1,1,1,1
