"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,128,0.0078125,1,1,1,1,1,1
"2",124,256,0.0078125,1,1,1,1,1,1
"3",451,256,0.00390625,1,1,1,1,1,1
"4",689,4,0.00390625,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"5",320,256,0.00390625,1,1,1,1,1,1
"6",420,4,0.00390625,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"7",987,4,0.00390625,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"8",150,256,0.00390625,1,1,1,1,1,1
"9",489,256,0.00390625,1,1,1,1,1,1
"10",143,256,0.00390625,1,1,1,1,1,1
"11",323,4,0.00390625,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"12",550,256,0.0078125,1,1,1,1,1,1
"13",740,128,0.015625,1,1,1,1,1,1
"14",430,128,0.0078125,1,1,1,1,1,1
"15",303,256,0.0078125,1,1,1,1,1,1
"16",264,256,0.00390625,1,1,1,1,1,1
"17",456,128,0.015625,1,1,1,1,1,1
"18",970,256,0.00390625,1,1,1,1,1,1
"19",950,256,0.00390625,1,1,1,1,1,1
"20",880,128,0.0078125,1,1,1,1,1,1
