"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,256,0.0078125,1,1,1,1,1,1
"2",124,256,0.0078125,1,1,1,1,1,1
"3",451,256,0.00390625,1,1,1,1,1,1
"4",689,256,0.015625,1,1,1,1,1,1
"5",320,256,0.0078125,1,1,1,1,1,1
"6",420,256,0.015625,1,1,1,1,1,1
"7",987,256,0.0078125,1,1,1,1,1,1
"8",150,256,0.0078125,1,1,1,1,1,1
"9",489,256,0.015625,1,1,1,1,1,1
"10",143,256,0.0078125,1,1,1,1,1,1
"11",323,1,0.03125,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"12",550,256,0.00390625,1,1,1,1,1,1
"13",740,256,0.0078125,1,1,1,1,1,1
"14",430,256,0.0078125,1,1,1,1,1,1
"15",303,256,0.015625,1,1,1,1,1,1
"16",264,16,0.00390625,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"17",456,256,0.015625,1,1,1,1,1,1
"18",970,256,0.0078125,1,1,1,1,1,1
"19",950,256,0.015625,1,1,1,1,1,1
"20",880,256,0.0078125,1,1,1,1,1,1
